userWallet,credit_score,risk_category,total_transactions,unique_assets,days_active,repay_to_borrow_ratio,deposit_to_borrow_ratio,has_borrowed,has_repaid,has_been_liquidated,total_volume_usd,liquidation_ratio
0x00000000001accfa9cef68cf5371a23025b6d4b6,382,Medium Risk,1,1,0.0,0.0,1.0,0,0,0,1987663654.8592713,0.0
0x000000000051d07a4fb3bd10121a343d85818da6,442,Medium Risk,1,1,0.0,0.0,1.0,0,0,0,2.8569448036149264e+20,0.0
0x000000000096026fb41fc39f9875d164bd82e2dc,631,Low Risk,2,1,7.574131944444445,0.0,2.0,0,0,0,5152310624158186.0,0.0
0x0000000000e189dd664b9ab08a33c4839953852c,786,Very Low Risk,17,4,129.3277662037037,0.0,0.0,0,0,0,9.803600316664595e+20,0.0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,984,Excellent,399,6,132.8659027777778,0.26666666666666666,16.666666666666668,1,1,0,3.7974947198482514e+23,0.0
0x000000000a38444e0a6e37d3b630d7e855a7cb13,888,Very Low Risk,25,5,39.28017361111111,0.625,0.875,1,1,0,2.300808111389683e+22,0.0
0x000000003853fcedcd0355fec98ca3192833f00b,808,Very Low Risk,8,7,7.889201388888889,0.0,8.0,0,0,0,7.637631560497202e+16,0.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,1000,Excellent,492,7,123.50150462962964,0.5333333333333333,10.3,1,1,0,8.908806796796658e+23,0.0
0x000000007858e6f2668e1e06111cfa24403a5466,382,Medium Risk,1,1,0.0,0.0,1.0,0,0,0,1.421606664814541e+17,0.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,382,Medium Risk,1,1,0.0,0.0,1.0,0,0,0,1766652.503785739,0.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,808,Very Low Risk,69,1,30.65619212962963,0.375,1.0833333333333333,1,1,0,2.7961352727990923e+24,0.0
0x00000029ff545c86524ade7caf132527707948c4,744,Very Low Risk,47,4,2.104513888888889,1.0,1.0,1,1,0,9.991154302078428e+24,0.0
0x00000087c4cebffb95746d1935de7fbcab092f40,952,Excellent,250,8,100.5072800925926,0.7258064516129032,1.3870967741935485,1,1,0,4.653640545421353e+22,0.0
0x000000e28faa823d5b53ff6c2922c28335840375,998,Excellent,297,7,137.20600694444445,0.9545454545454546,1.621212121212121,1,1,0,1.014198024154186e+25,0.0
